id	NoAdaptersSRR925687_NoPcr__PE	NoAdaptersSRR925688_NoPcr__PE	NoAdaptersSRR925697_NoPcr__PE	NoAdaptersSRR925703_NoPcr__PE	NoAdaptersSRR925714_NoPcr__PE	NoAdaptersSRR925716_NoPcr__PE	NoAdaptersSRR925720_NoPcr__PE	NoAdaptersSRR925721_NoPcr__PE	NoAdaptersSRR925726_NoPcr__PE	NoAdaptersSRR934634_NoPcr__PE	NoAdaptersSRR934636_NoPcr__PE
ENSG00000130559.17	8.78	14.95	22.86	10.98	23.38	19.55	9.41	12.78	13.45	23.51	24.51
ENSG00000130560.7	39.81	42.79	38.53	27.19	32.27	26.85	41.65	23.12	24.00	67.43	22.14
ENSG00000130584.9	1.28	0.59	2.60	3.15	1.33	1.15	0.46	0.51	1.60	0.56	3.01
ENSG00000130589.15	16.88	7.22	11.92	7.68	11.04	9.63	5.50	11.28	7.63	7.87	24.33
ENSG00000130590.12	1.92	3.88	0.00	1.14	0.00	0.50	3.07	0.00	3.74	1.20	1.53
ENSG00000130592.12	0.32	0.18	0.00	0.20	0.00	4.99	0.92	0.06	0.10	2.97	0.00
ENSG00000130595.15	0.00	0.00	0.00	0.00	0.00	1.61	0.08	0.00	0.00	0.00	0.00
ENSG00000130598.14	317.75	221.15	0.00	0.00	0.00	0.00	81.74	3.84	0.16	17.96	0.00
ENSG00000130600.14	1.16	0.60	0.16	0.44	0.07	136.95	6.86	1.04	0.18	70.13	0.53
ENSG00000130635.14	0.00	0.03	170.83	43.72	75.32	129.40	0.00	0.02	3.77	8.80	0.58
ENSG00000130638.14	125.13	81.47	122.63	148.82	195.40	106.36	109.67	95.75	105.17	40.43	37.87
ENSG00000130640.12	20.53	30.98	24.09	54.00	84.51	33.15	36.61	56.50	27.43	72.04	84.99
ENSG00000130649.8	0.00	0.27	0.62	0.79	0.14	0.13	0.20	3.04	0.41	0.00	0.49
ENSG00000130653.14	0.13	0.69	0.71	0.23	0.60	0.13	0.27	0.33	0.29	0.34	1.28
ENSG00000130669.16	36.92	25.20	21.94	22.70	32.56	35.82	31.26	44.10	61.53	46.29	64.01
ENSG00000130675.13	0.93	0.40	2.86	3.00	0.07	0.32	0.43	0.49	1.54	0.40	0.62
ENSG00000130684.12	10.97	7.13	5.79	4.04	9.09	3.78	8.90	3.54	2.38	3.05	5.55
ENSG00000130695.12	12.17	7.02	22.57	31.62	21.48	15.37	11.90	7.59	19.60	13.75	19.89
ENSG00000130699.15	12.75	5.13	12.88	15.03	11.53	6.99	10.11	4.94	12.99	5.15	10.34
ENSG00000130702.12	145.91	200.95	30.47	17.04	7.25	99.66	152.72	65.18	53.56	81.69	11.19
ENSG00000130703.14	19.50	33.06	20.05	17.65	15.28	10.76	27.35	16.73	11.92	23.15	16.55
ENSG00000130706.11	201.61	107.34	162.76	82.69	97.75	269.86	147.44	188.48	197.82	230.95	274.28
ENSG00000130707.16	9.75	98.74	0.87	73.05	26.61	1.95	149.96	219.73	14.87	144.92	3.33
ENSG00000130713.14	35.90	12.51	58.70	55.44	61.03	31.45	29.68	20.18	42.26	41.81	13.97
ENSG00000130714.14	9.15	12.09	24.41	13.90	22.62	13.30	16.59	14.76	13.37	8.68	37.42
ENSG00000130717.11	17.95	16.28	44.99	14.87	26.25	35.75	13.00	18.37	23.04	16.32	24.65
ENSG00000130720.11	8.54	0.08	16.50	2.67	0.04	7.59	0.90	14.25	18.47	0.17	2.37
ENSG00000130723.16	34.02	43.26	45.22	35.68	52.58	40.26	27.02	24.06	34.68	47.50	56.47
ENSG00000130724.7	104.02	120.71	93.63	111.70	47.65	148.84	105.99	188.44	76.23	145.64	128.68
ENSG00000130725.6	93.71	94.71	149.37	58.79	107.18	175.35	149.78	136.21	171.44	205.58	177.74
ENSG00000130726.10	129.93	73.84	256.69	258.40	231.62	390.07	102.16	78.82	183.40	31.17	207.36
ENSG00000130731.14	77.88	73.68	62.80	15.09	26.17	86.11	51.00	71.70	38.59	85.35	47.44
ENSG00000130733.9	39.04	46.29	39.46	15.63	28.01	74.36	45.56	54.39	24.44	52.24	86.34
ENSG00000130734.8	21.27	37.15	20.94	11.46	30.89	23.42	26.22	25.23	30.86	20.57	26.42
ENSG00000130741.9	84.14	85.37	116.75	46.89	48.22	53.19	107.81	89.72	86.31	37.65	43.32
ENSG00000130748.6	7.27	6.72	29.82	11.08	0.75	34.20	6.22	6.78	10.82	5.67	20.70
ENSG00000130749.8	10.83	9.57	10.22	10.23	18.72	7.95	11.27	6.78	10.41	23.73	8.73
ENSG00000130751.8	0.51	1.25	0.18	0.50	0.00	3.85	0.37	1.26	1.44	1.05	1.99
ENSG00000130755.11	0.00	0.99	0.23	0.63	0.06	0.07	0.38	1.01	53.43	0.00	0.00
