id	ER-ERR1084763_PE	ER-ERR1084764_PE	ER-ERR1084765_PE	ER-ERR1084775_PE	ER-ERR1084805_PE	ER-ERR1084806_PE	ER-ERR1084811_PE	TN-ERR1084766_PE	TN-ERR1084768_PE	TN-ERR1084798_PE	TN-ERR1084799_PE	TN-ERR1084800_PE	TN-ERR1084801_PE	TN-ERR1084802_PE	TN-ERR1084803_PE	TN-ERR1084804_PE	TN-ERR1084807_PE	TN-ERR1084808_PE	TN-ERR1084809_PE	TN-ERR1084810_PE
ENSMUSG00000027408	2.00	0.00	0.00	0.00	1.00	0.00	1.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	1.00
ENSMUSG00000027887	1.00	0.00	0.00	8.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000027889	5.00	4.00	12.00	9.00	7.00	2.00	10.00	6.00	1.00	3.00	4.00	3.00	1.00	14.00	4.00	9.00	2.00	22.00	4.00	2.00
ENSMUSG00000028126	1.00	0.00	1.00	8.00	1.00	2.00	0.00	2.00	0.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	6.00	1.00	1.00
ENSMUSG00000028391	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
ENSMUSG00000028524	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000028568	42.00	38.00	72.00	137.00	100.00	32.00	79.00	116.00	32.00	59.00	61.00	44.00	47.00	222.00	77.00	77.00	48.00	216.00	62.00	63.00
ENSMUSG00000028717	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	1.00	0.00	1.00
ENSMUSG00000028977	0.00	0.00	2.00	2.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
ENSMUSG00000029335	0.00	0.00	5.00	22.00	25.00	2.00	0.00	0.00	5.00	25.00	2.00	39.00	0.00	30.00	4.00	24.00	0.00	25.00	12.00	2.00
ENSMUSG00000029389	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
ENSMUSG00000029433	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000029580	0.00	1.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000029621	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000029759	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000029833	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000030031	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
ENSMUSG00000030055	3.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	3.00	0.00	0.00
ENSMUSG00000030148	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
ENSMUSG00000030244	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000030325	0.00	0.00	2.00	4.00	4.10	3.00	0.00	0.00	0.00	3.00	0.00	0.00	1.00	3.00	3.14	0.00	1.00	1.00	0.00	2.00
ENSMUSG00000030361	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
ENSMUSG00000030471	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000030554	0.00	0.00	0.00	2.00	1.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000030629	0.00	5.00	1.00	4.00	3.00	4.00	5.00	10.00	0.00	3.00	0.00	0.00	1.00	4.00	0.00	5.00	0.00	6.00	2.00	7.00
ENSMUSG00000030722	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000030731	0.00	0.00	0.00	1.00	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000030798	2.00	3.00	1.00	14.00	2.00	1.00	4.00	14.00	2.00	5.00	1.00	1.00	2.00	3.00	1.00	1.00	2.00	7.00	2.00	1.00
ENSMUSG00000031065	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000031242	2.00	1.00	2.00	3.00	0.00	0.00	1.00	2.00	1.00	0.00	0.00	2.00	1.00	1.00	0.00	1.00	0.00	2.00	1.00	0.00
ENSMUSG00000031258	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000031352	0.00	0.00	0.00	1.00	0.00	0.00	0.00	4.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000031355	1.00	2.00	3.00	5.00	2.00	2.00	2.00	1.00	0.00	0.00	1.00	1.00	0.00	2.00	1.00	0.00	1.00	0.00	0.00	1.00
ENSMUSG00000031370	1.00	0.00	1.00	1.00	2.00	1.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00	5.00	1.00	1.00	0.00	0.00	0.00	2.00
ENSMUSG00000031376	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000031489	0.00	0.00	20.00	79.00	67.00	1.00	1.00	0.00	2.00	0.00	0.00	1.00	1.00	189.00	5.00	4.00	7.00	8.00	1.00	2.00
ENSMUSG00000031789	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000031972	62.00	62.00	0.00	536.00	0.00	0.00	19.00	0.00	1.00	7.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	3.00
ENSMUSG00000032006	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000032231	35.00	24.00	39.00	82.00	73.00	19.00	64.00	152.00	45.00	47.00	28.00	36.00	27.00	172.00	68.00	65.00	33.00	137.00	28.00	114.00
